Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,EMA_5,EMA_10,EMA_20,RSI_7,RSI_14,RSI_20,ATRr_14,OBV,Volume
2003-01-02 00:00:00+00:00,879.8200073242188,909.030029296875,879.8200073242188,909.030029296875,909.030029296875,1229200000,,,,,,,,,,,1229200000.0,1229200000
2003-01-03 00:00:00+00:00,909.030029296875,911.25,903.0700073242188,908.5900268554688,908.5900268554688,1130800000,,,,,,,,,,,98400000.0,1130800000
2003-01-06 00:00:00+00:00,908.5900268554688,931.77001953125,908.5900268554688,929.010009765625,929.010009765625,1435900000,,,,,,,,,,,1534300000.0,1435900000
2003-01-07 00:00:00+00:00,929.010009765625,930.8099975585938,919.9299926757812,922.9299926757812,922.9299926757812,1545200000,,,,,,,,,,,-10900000.0,1545200000
2003-01-08 00:00:00+00:00,922.9299926757812,922.9299926757812,908.3200073242188,909.9299926757812,909.9299926757812,1467600000,915.8980102539062,,,915.8980102539062,,,,,,,-1478500000.0,1467600000
2003-01-09 00:00:00+00:00,909.9299926757812,928.3099975585938,909.9299926757812,927.5700073242188,927.5700073242188,1560300000,919.606005859375,,,919.7886759440105,,,,,,,81800000.0,1560300000
2003-01-10 00:00:00+00:00,927.5800170898438,932.8900146484375,917.6599731445312,927.5700073242188,927.5700073242188,1485400000,923.402001953125,,,922.3824530707467,,,,,,,81800000.0,1485400000
2003-01-13 00:00:00+00:00,927.5700073242188,935.0499877929688,922.0499877929688,926.260009765625,926.260009765625,1396300000,922.852001953125,,,923.6749719690395,,,63.36898749850345,,,,-1314500000.0,1396300000
2003-01-14 00:00:00+00:00,926.260009765625,931.6599731445312,921.719970703125,931.6599731445312,931.6599731445312,1379400000,924.597998046875,,,926.3366390275368,,,68.9083806806992,,,,64900000.0,1379400000
2003-01-15 00:00:00+00:00,931.6599731445312,932.5900268554688,916.7000122070312,918.219970703125,918.219970703125,1432100000,926.2559936523437,921.077001953125,,923.6310829193997,921.077001953125,,47.882795583399115,,,,-1367200000.0,1432100000
