time,EURUSD,USDJPY,AUDUSD,USDCAD
2003-01-02 00:00:00+00:00,-1.0877862595419896,1.0690235690235639,0.33837934105076517,-0.39407614568106597
2003-01-03 00:00:00+00:00,0.5981092031641877,-0.3164820521362466,0.8342208022719344,-0.23610490715333388
2003-01-06 00:00:00+00:00,0.18220176448024983,-0.3258417578745121,1.4610103854955092,-0.23666368171935126
2003-01-07 00:00:00+00:00,-0.40202929070546345,0.8968985750209546,-0.5031228313671088,0.21157914983651605
2003-01-08 00:00:00+00:00,0.9226333493512762,-1.0052338622580481,0.5056669572798711,-0.1727447216890554
2003-01-09 00:00:00+00:00,-0.12379773354919132,0.17623363544814197,0.034698126301169196,-0.5768121515093316
2003-01-10 00:00:00+00:00,0.8104500381388213,-0.01675462846612019,1.3874436351023256,-0.22561722426350794
2003-01-13 00:00:00+00:00,-0.3121157665752272,-0.3016338500209437,0.05131713992472253,-0.4264116810957619
2003-01-14 00:00:00+00:00,0.15180265654648473,-0.722749810908474,0.051290818943416916,-0.04541915390604556
2003-01-15 00:00:00+00:00,-0.02841985600607888,0.008465250148148584,0.051264524948724244,-0.2661473547549531
2003-01-16 00:00:00+00:00,0.5685587036861506,-0.2624005417301567,0.6319385140905132,-0.2212965373600717
2003-01-17 00:00:00+00:00,0.5653443889569454,-0.025460409063904343,0.5431093007467913,0.14350945857797281
2003-01-20 00:00:00+00:00,0.16864986414317773,0.17826825127336132,-0.1181634031060197,-0.07165190203231031
2003-01-21 00:00:00+00:00,0.3180245065943277,0.1355817303618334,-0.5070136893696175,-0.11733263802881089
2003-01-22 00:00:00+00:00,0.027972027972023028,0.12693577050011395,-0.5265839986410725,-0.0913659205116546
2003-01-23 00:00:00+00:00,0.1677852348993314,-0.2112914131169763,1.127049180327866,-0.4245868443399248
2003-01-24 00:00:00+00:00,0.7909919970221502,-0.18633014313542695,0.01688618709896339,-0.3607976908947874
2003-01-27 00:00:00+00:00,0.14772412519619138,0.5685193042002545,-0.5571500928583606,0.48719468036080293
2003-01-28 00:00:00+00:00,-0.23969761224300612,0.11812352345594856,-0.10186757215618902,0.10482867064143253
2003-01-29 00:00:00+00:00,0.04620645042048288,-0.1601213551323144,0.32290958531611125,-0.6021336474900219
2003-01-30 00:00:00+00:00,-0.036948087936450325,0.42204777580823194,-0.1694053870913148,0.6584578916178252
2003-01-31 00:00:00+00:00,-0.4712622435779079,0.8153315962007301,-0.1866621415238634,-0.5756525152089909
2003-02-03 00:00:00+00:00,0.15783121344350448,0.26680006670001255,-0.4250255015300852,-0.17764326600435698
2003-02-04 00:00:00+00:00,0.9454949944382562,-0.498919008814247,0.9219737066757716,-0.12523068810967874
2003-02-05 00:00:00+00:00,-0.9366391184572942,0.31756643824170094,-0.15225850109964467,0.3761631360126749
2003-02-06 00:00:00+00:00,0.42639970337410293,-0.14995001666111563,0.20332090816674864,-0.2432610124917689
2003-02-07 00:00:00+00:00,-0.11999261583901522,0.32537960954446277,-0.2198173824822569,0.23067290581952893
2003-02-10 00:00:00+00:00,-0.951852878661863,0.8814968814968793,-0.15251652262329163,0.5917937927406802
2003-02-11 00:00:00+00:00,0.17727187908191944,-0.18959690050284195,0.39035980991175556,-0.15688325271276948
2003-02-12 00:00:00+00:00,-0.26078047871845866,0.28906508093822225,-0.7100591715976323,0.22260049757758527
2003-02-13 00:00:00+00:00,1.232608086656084,-0.7576381454335812,1.3621658436914652,-0.9080219493075581
2003-02-14 00:00:00+00:00,-0.442763582695338,-0.1576632644593956,-0.5039475894506928,0.3823587579932619
2003-02-17 00:00:00+00:00,-0.6578337811544377,0.04986702127660614,-0.4220834036805732,-0.1050765088329797
2003-02-18 00:00:00+00:00,-0.31710501772057587,-1.0882206346569223,-0.03390979993217469,-0.3024127276313293
2003-02-19 00:00:00+00:00,0.5707335329341312,-0.3023431594860182,0.8649932157394735,-0.28354764259808096
2003-02-20 00:00:00+00:00,0.6605265606103083,-0.28641226518405505,0.5885320329577892,-0.43645020499933906
2003-02-21 00:00:00+00:00,-0.4898336414048132,0.22809833572694505,-0.11701771982612907,-0.08634431455898373
2003-02-24 00:00:00+00:00,0.21361567753319655,-0.657451112609575,1.1882845188284419,-0.8043608322807927
2003-02-25 00:00:00+00:00,-0.3058387395736717,-0.3309010690649927,0.08269930532582848,0.3015681544028981
2003-02-26 00:00:00+00:00,0.2974807102351873,-0.29794841236059355,0.38010246240292034,-0.2739359925168716
2003-02-27 00:00:00+00:00,-0.3800166836592789,0.4866803278688492,-0.2634178465591108,0.0669971861182006
2003-02-28 00:00:00+00:00,0.5396352809825089,0.382360438439977,0.5282271376692016,-0.6762185324049264
2003-03-03 00:00:00+00:00,0.8143623912641118,-0.4316912138141227,0.8210180623973828,0.08763060330299055
2003-03-04 00:00:00+00:00,0.5599412520653546,-0.2125308169684592,0.27687296416938345,-0.7677801724137789
2003-03-05 00:00:00+00:00,0.109539023277061,-0.0851933889930101,0.032483352281942324,-0.30541604452286597
2003-03-06 00:00:00+00:00,0.018236527765114197,0.06821282401090478,-0.32472804026627555,0.15657975355707343
2003-03-07 00:00:00+00:00,0.3464308505789049,-0.2471029311520212,-0.08144648965630052,-0.40103317020119267
2003-03-10 00:00:00+00:00,0.40883074407194187,-0.12812847014606055,0.19563090968375274,-0.09554357469460095
2003-03-11 00:00:00+00:00,-0.08143322475568926,0.17105713308245285,-1.7897819720143149,0.5259922125828265
2003-03-12 00:00:00+00:00,-0.4708865344562274,0.22199453551912107,-1.7064280980781943,0.3873335145419876
