Date,SPY,VIX,DJI,Nasdaq,RUSSELL 2000,DAX,FTSE,CAC,HSI,SSE,Nikkei,ENERGY,FINANCIALS,TECHNOLOGY,HEALTHCARE,CONSUMER STAPLES,INDUSTRIALS,UTLITIES,CONSUMER DISCRETIONARY,MATERIALS,5Y YIELD,10Y YIELD,30Y YIELD
2020-09-24,3246.590087890625,28.510000228881836,26815.439453125,10672.26953125,1451.8199462890625,12606.5703125,5822.7998046875,4762.6201171875,23311.0703125,3223.176025390625,23087.8203125,30.200000762939453,23.25,111.27999877929688,101.38999938964844,62.709999084472656,75.36000061035156,57.77000045776367,142.07000732421875,61.90999984741211,0.2750000059604645,0.6660000085830688,1.4010000228881836
2020-09-25,3298.4599609375,26.3799991607666,27173.9609375,10913.5595703125,1474.9100341796875,12469.2001953125,5842.7001953125,4729.66015625,23235.419921875,3219.41796875,23204.619140625,30.18000030517578,23.489999771118164,113.94000244140625,103.0199966430664,63.040000915527344,76.48999786376953,58.720001220703125,143.9199981689453,62.459999084472656,0.2669999897480011,0.6589999794960022,1.4049999713897705
2020-09-28,3351.60009765625,26.190000534057617,27584.060546875,11117.5302734375,1510.3399658203125,12870.8701171875,5927.89990234375,4843.27001953125,23476.05078125,3217.534912109375,23511.619140625,30.889999389648438,24.049999237060547,116.12000274658203,103.94999694824219,63.75,77.87000274658203,58.869998931884766,146.92999267578125,63.470001220703125,0.26600000262260437,0.6629999876022339,1.4229999780654907
2020-09-29,3335.469970703125,26.270000457763672,27452.66015625,11085.25,1504.72998046875,12825.8203125,5897.5,4832.06982421875,23275.529296875,3224.35888671875,23539.099609375,30.040000915527344,23.75,115.7300033569336,103.81999969482422,63.33000183105469,77.18000030517578,58.849998474121094,145.7899932861328,63.0,0.25,0.6449999809265137,1.406000018119812
2020-09-30,3363.0,26.3700008392334,27781.69921875,11167.509765625,1507.68994140625,12760.73046875,5866.10009765625,4803.43994140625,23459.05078125,3218.052001953125,23185.119140625,29.950000762939453,24.06999969482422,116.69999694824219,105.4800033569336,64.0999984741211,76.9800033569336,59.380001068115234,146.97999572753906,63.63999938964844,0.2720000147819519,0.6769999861717224,1.4509999752044678
2020-10-01,3380.800048828125,26.700000762939453,27816.900390625,11326.509765625,1531.199951171875,12730.76953125,5879.5,4824.0400390625,,,,29.030000686645508,24.110000610351562,117.93000030517578,105.12000274658203,64.45999908447266,76.75,59.97999954223633,148.89999389648438,62.7400016784668,0.2720000147819519,0.6769999861717224,1.4539999961853027
2020-10-02,3348.419921875,27.6299991607666,27682.810546875,11075.01953125,1539.300048828125,12689.0400390625,5902.10009765625,4824.8798828125,,,23029.900390625,29.309999465942383,24.299999237060547,114.94000244140625,104.16000366210938,64.0999984741211,77.61000061035156,60.689998626708984,148.27000427246094,63.29999923706055,0.2849999964237213,0.6959999799728394,1.4809999465942383
2020-10-05,3408.60009765625,27.959999084472656,28148.640625,11332.490234375,1581.9599609375,12828.3095703125,5942.89990234375,4871.8701171875,23767.779296875,,23312.140625,30.190000534057617,24.700000762939453,117.45999908447266,106.30000305175781,64.52999877929688,78.86000061035156,61.45000076293945,150.22999572753906,64.51000213623047,0.3240000009536743,0.7620000243186951,1.5670000314712524
2020-10-06,3360.969970703125,29.479999542236328,27772.759765625,11154.599609375,1577.2900390625,12906.01953125,5949.89990234375,4895.4599609375,23980.650390625,,23433.73046875,29.739999771118164,24.450000762939453,115.63999938964844,104.88999938964844,64.11000061035156,77.9000015258789,61.970001220703125,147.4499969482422,63.70000076293945,0.3160000145435333,0.7419999837875366,1.5360000133514404
2020-10-07,3419.43994140625,28.059999465942383,28303.4609375,11364.599609375,1611.0400390625,12928.5703125,5946.2998046875,4882.0,24242.859375,,23422.8203125,30.15999984741211,24.860000610351562,117.76000213623047,106.87000274658203,64.80000305175781,79.62000274658203,62.349998474121094,150.82000732421875,65.33999633789062,0.3440000116825104,0.7850000262260437,1.5880000591278076
2020-10-08,3446.830078125,26.360000610351562,28425.509765625,11420.98046875,1628.550048828125,13042.2099609375,5978.0,4911.93994140625,24193.349609375,,23647.0703125,31.290000915527344,25.200000762939453,118.37000274658203,107.38999938964844,65.2300033569336,80.41000366210938,63.4900016784668,151.80999755859375,66.0,0.32600000500679016,0.7649999856948853,1.565999984741211
2020-10-09,3477.139892578125,25.0,28586.900390625,11579.9404296875,1637.550048828125,13051.23046875,6016.7001953125,4946.81005859375,24119.130859375,3272.075927734375,23619.689453125,30.790000915527344,25.229999542236328,120.18000030517578,108.36000061035156,65.73999786376953,80.70999908447266,63.47999954223633,153.38999938964844,66.51000213623047,0.335999995470047,0.7749999761581421,1.5740000009536743
2020-10-12,3534.219970703125,25.06999969482422,28837.51953125,11876.259765625,1649.050048828125,13138.41015625,6001.39990234375,4979.2900390625,24649.6796875,3358.465087890625,23558.689453125,30.8700008392334,25.510000228881836,123.45999908447266,109.0999984741211,66.5,81.16999816894531,63.880001068115234,155.42999267578125,66.4000015258789,0.33899998664855957,0.7770000100135803,1.5740000009536743
2020-10-13,3511.929931640625,26.06999969482422,28679.810546875,11863.900390625,1636.8499755859375,13018.990234375,5969.7001953125,4947.60986328125,,3359.75,23601.779296875,30.389999389648438,25.020000457763672,122.66999816894531,108.2699966430664,66.44999694824219,80.2699966430664,63.439998626708984,155.39999389648438,65.80999755859375,0.3019999861717224,0.7269999980926514,1.5130000114440918
2020-10-14,3488.669921875,26.399999618530273,28514.0,11768.73046875,1621.6500244140625,13028.0595703125,5935.10009765625,4941.66015625,24667.08984375,3340.778076171875,23626.73046875,30.520000457763672,24.780000686645508,122.0199966430664,107.63999938964844,66.11000061035156,80.72000122070312,63.36000061035156,153.67999267578125,66.0,0.3019999861717224,0.722000002861023,1.5
2020-10-15,3483.340087890625,26.969999313354492,28494.19921875,11713.8701171875,1638.8800048828125,12703.75,5832.5,4837.419921875,24158.5390625,3332.18310546875,23507.23046875,30.889999389648438,24.969999313354492,121.47000122070312,106.86000061035156,66.1500015258789,81.01000213623047,63.31999969482422,154.25,65.80999755859375,0.3140000104904175,0.7310000061988831,1.5069999694824219
2020-10-16,3483.81005859375,27.40999984741211,28606.310546875,11671.5595703125,1633.81005859375,12908.990234375,5919.60009765625,4935.85986328125,24386.7890625,3336.35791015625,23410.630859375,30.190000534057617,24.989999771118164,121.12000274658203,107.91999816894531,66.16999816894531,81.5999984741211,64.0,152.85000610351562,66.2699966430664,0.3190000057220459,0.7440000176429749,1.5290000438690186
2020-10-19,3426.919921875,29.18000030517578,28195.419921875,11478.8798828125,1613.6300048828125,12854.66015625,5884.7001953125,4942.6201171875,24542.259765625,3312.669921875,23671.130859375,29.549999237060547,24.610000610351562,118.9000015258789,106.20999908447266,65.30999755859375,80.58999633789062,63.459999084472656,150.97000122070312,65.5,0.33000001311302185,0.7609999775886536,1.5479999780654907
2020-10-20,3443.1201171875,29.350000381469727,28308.7890625,11516.490234375,1617.7099609375,12736.9501953125,5889.2001953125,4929.27978515625,24569.5390625,3328.10009765625,23567.0390625,29.899999618530273,24.809999465942383,119.30999755859375,106.3499984741211,65.23999786376953,81.01000213623047,63.84000015258789,152.17999267578125,65.6500015258789,0.34299999475479126,0.796999990940094,1.6039999723434448
2020-10-21,3435.56005859375,28.649999618530273,28210.8203125,11484.6904296875,1603.780029296875,12557.6396484375,5776.5,4853.9501953125,24754.419921875,3325.02001953125,23639.4609375,29.329999923706055,24.68000030517578,119.12999725341797,105.81999969482422,65.30000305175781,80.19000244140625,63.66999816894531,151.35000610351562,65.4000015258789,0.35100001096725464,0.8159999847412109,1.628999948501587
2020-10-22,3453.489990234375,28.110000610351562,28363.66015625,11506.009765625,1630.25,12543.0595703125,5785.7001953125,4851.3798828125,24786.130859375,3312.5,23474.26953125,30.540000915527344,25.170000076293945,118.56999969482422,107.41999816894531,65.2699966430664,80.8499984741211,64.56999969482422,151.66000366210938,65.76000213623047,0.375,0.8479999899864197,1.6579999923706055
2020-10-23,3465.389892578125,27.549999237060547,28335.5703125,11548.2802734375,1640.5,12645.75,5860.2998046875,4909.64013671875,24918.779296875,3277.9970703125,23516.58984375,30.389999389648438,25.25,118.44000244140625,107.81999969482422,65.38999938964844,81.16999816894531,64.75,152.99000549316406,66.0,0.3700000047683716,0.8410000205039978,1.6449999809265137
